------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	N         14.00699997
------------------------------


------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N
------------------------------------------------------------------------------------------------------
    1. H2                    G      0            2.016000    300.00   4000.00       0       2       0
    2. CH4                   G      0           16.043000    300.00   4000.00       1       4       0
    3. C2H2                  G      0           26.037999    300.00   4000.00       2       2       0
    4. C2H4                  G      0           28.053999    300.00   4000.00       2       4       0
    5. C2H6                  G      0           30.069999    300.00   4000.00       2       6       0
    6. C3H2                  G      0           38.048999    300.00   4000.00       3       2       0
    7. PC3H4                 G      0           40.064999    300.00   4000.00       3       4       0
    8. AC3H4                 G      0           40.064999    300.00   4000.00       3       4       0
    9. C3H6                  G      0           42.080999    300.00   4000.00       3       6       0
   10. C3H8                  G      0           44.096999    300.00   4000.00       3       8       0
   11. C4H2                  G      0           50.059999    300.00   4000.00       4       2       0
   12. C4H4                  G      0           52.075999    300.00   4000.00       4       4       0
   13. C4H6                  G      0           54.091999    300.00   4000.00       4       6       0
   14. IC4H8                 G      0           56.107999    300.00   4000.00       4       8       0
   15. NC4H8                 G      0           56.107999    300.00   4000.00       4       8       0
   16. CYC5H6                G      0           66.102998    300.00   4000.00       5       6       0
   17. C6H6                  G      0           78.113998    300.00   4000.00       6       6       0
   18. MCPTD                 G      0           80.129998    300.00   4000.00       6       8       0
   19. C10H8                 G      0          128.173997    300.00   4000.00      10       8       0
   20. H                     G      0            1.008000    300.00   4000.00       0       1       0
   21. C                     G      0           12.011000    300.00   4000.00       1       0       0
   22. CH                    G      0           13.019000    300.00   4000.00       1       1       0
   23. CH2                   G      0           14.027000    300.00   4000.00       1       2       0
   24. CH2S                  G      0           14.027000    300.00   4000.00       1       2       0
   25. CH3                   G      0           15.035000    300.00   4000.00       1       3       0
   26. C2H                   G      0           25.029999    300.00   4000.00       2       1       0
   27. C2H3                  G      0           27.045999    300.00   4000.00       2       3       0
   28. C2H5                  G      0           29.061999    300.00   4000.00       2       5       0
   29. C3H3                  G      0           39.056999    300.00   4000.00       3       3       0
   30. CH2CHCH2              G      0           41.072999    300.00   4000.00       3       5       0
   31. CH2CCH3               G      0           41.072999    300.00   4000.00       3       5       0
   32. CHCHCH3               G      0           41.072999    300.00   4000.00       3       5       0
   33. NC3H7                 G      0           43.088999    300.00   4000.00       3       7       0
   34. IC3H7                 G      0           43.088999    300.00   4000.00       3       7       0
   35. C4H3                  G      0           51.067999    300.00   4000.00       4       3       0
   36. C4H5                  G      0           53.083999    300.00   4000.00       4       5       0
   37. SC4H7                 G      0           55.099999    300.00   4000.00       4       7       0
   38. IC4H7                 G      0           55.099999    300.00   4000.00       4       7       0
   39. CH2C3H5               G      0           55.099999    300.00   4000.00       4       7       0
   40. CYC5H5                G      0           65.094998    300.00   4000.00       5       5       0
   41. C6H5                  G      0           77.105998    300.00   4000.00       6       5       0
   42. C7H7                  G      0           91.132998    300.00   4000.00       7       7       0
   43. C7H8                  G      0           92.140998    300.00   4000.00       7       8       0
   44. INDENYL               G      0          115.154997    300.00   4000.00       9       7       0
   45. INDENE                G      0          116.162997    300.00   4000.00       9       8       0
   46. C6H5C2H               G      0          102.135998    300.00   4000.00       8       6       0
   47. C6H5C2H3              G      0          104.151998    300.00   4000.00       8       8       0
   48. N2                    G      0           28.014000    300.00   4000.00       0       0       2
   49. H(S)                  G      0            1.008000    300.00   4000.00       0       1       0
   50. C.(S)                 G      0           12.011000    300.00   4000.00       1       0       0
   51. CHCH.(S)              G      0           26.037999    300.00   4000.00       2       2       0
   52. CH2CH2.(S)            G      0           28.053999    300.00   4000.00       2       4       0
   53. CH2CH2(S)             G      0           28.053999    300.00   4000.00       2       4       0
   54. CH.CH2(S)             G      0           27.045999    300.00   4000.00       2       3       0
   55. P1(S)                 G      0           40.064999    300.00   4000.00       3       4       0
   56. P3(S)                 G      0           42.080999    300.00   4000.00       3       6       0
   57. P4(S)                 G      0           42.080999    300.00   4000.00       3       6       0
   58. P5(S)                 G      0           41.072999    300.00   4000.00       3       5       0
   59. P6(S)                 G      0           40.064999    300.00   4000.00       3       4       0
   60. P7(S)                 G      0           40.064999    300.00   4000.00       3       4       0
   61. C6H6.(S)              G      0           78.113998    300.00   4000.00       6       6       0
   62. C6H6(S)               G      0           78.113998    300.00   4000.00       6       6       0
   63. C6H5#(S)              G      0           77.105998    300.00   4000.00       6       5       0
   64. C6H5.(S)              G      0           77.105998    300.00   4000.00       6       5       0
   65. C10H8.(1)(S)          G      0          128.173997    300.00   4000.00      10       8       0
   66. C10H8(1)(S)           G      0          128.173997    300.00   4000.00      10       8       0
   67. PHENYLAC.1(S)         G      0          102.135998    300.00   4000.00       8       6       0
   68. STYRENE.1(S)          G      0          104.151998    300.00   4000.00       8       8       0
   69. STYRENE1(S)           G      0          104.151998    300.00   4000.00       8       8       0
   70. CCH(S)                G      0           25.029999    300.00   4000.00       2       1       0
   71. CHCH2(S)              G      0           27.045999    300.00   4000.00       2       3       0
   72. CH3(S)                G      0           15.035000    300.00   4000.00       1       3       0
   73. CH2.(S)               G      0           14.027000    300.00   4000.00       1       2       0
   74. CH2C5(S)              G      0           14.027000    300.00   4000.00       1       2       0
   75. CH.C5(S)              G      0           13.019000    300.00   4000.00       1       1       0
   76. CHCH3C5(S)            G      0           28.053999    300.00   4000.00       2       4       0
   77. C.CH3C5(S)            G      0           27.045999    300.00   4000.00       2       3       0
   78. HZ(S)                 G      0            1.008000    300.00   4000.00       0       1       0
   79. C.Z(S)                G      0           12.011000    300.00   4000.00       1       0       0
   80. CHCH.Z(S)             G      0           26.037999    300.00   4000.00       2       2       0
