 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                       1.432099e+04     1.496067e+04     1.000000e+03     1.360225e+04     3.402265e+00    -3.358372e-03    -3.907894e-07     1.705319e-09     1.233733e+04     2.887232e+00    -2.323524e-04    -3.807322e-08     6.527644e-12
    2. CH4                      2.189941e+03     4.498040e+03     1.000000e+03     4.035915e+02     9.057483e+00    -1.442533e-02     1.580545e-05    -6.343158e-09     8.724747e+02     5.305563e+00    -2.008328e-03     3.516704e-07    -2.333949e-11
    3. C2H2                     1.702022e+03     2.620683e+03     1.000000e+03     6.429712e+02     4.850619e+00    -5.161235e-03     2.899106e-06    -6.107787e-10     1.416752e+03     1.716678e+00    -6.108010e-04     1.049408e-07    -6.886810e-12
    4. C2H4                     1.518040e+03     3.357024e+03     1.000000e+03    -2.553222e+02     8.287083e+00    -1.004314e-02     8.254453e-06    -2.886049e-09     1.045729e+03     3.403903e+00    -1.309492e-03     2.324932e-07    -1.560954e-11
    5. C2H6                     1.741028e+03     4.077228e+03     1.000000e+03     4.043972e+02     4.284332e+00     1.598331e-03    -3.477950e-06     1.268119e-09     1.334400e+03     3.826928e+00    -1.260098e-03     1.859477e-07    -9.949044e-12
    6. C3H2                     1.638857e+03     2.170937e+03     1.000000e+03     6.919899e+02     5.424913e+00    -1.003364e-02     9.326469e-06    -3.238797e-09     1.676265e+03     6.006563e-01    -9.551379e-05    -1.410677e-08     3.635924e-12
    7. PC3H4                    1.518799e+03     2.900944e+03     1.000000e+03     3.033494e+02     5.105651e+00    -3.947515e-03     1.785463e-06    -3.460037e-10     5.840991e+02     3.850085e+00    -1.981913e-03     4.979575e-07    -4.928397e-11
    8. AC3H4                    1.482012e+03     2.944981e+03     1.400070e+03     5.270767e+02     3.389779e+00    -3.662701e-04    -9.644413e-07     3.588368e-10     2.028810e+03     1.100323e+00    -7.680720e-05    -6.280487e-08     1.056212e-11
    9. C3H6                     1.529732e+03     3.432854e+03     1.000000e+03     2.950511e+02     4.134444e+00     8.865112e-04    -3.297475e-06     1.414323e-09     1.330187e+03     2.945625e+00    -9.780126e-04     1.424968e-07    -7.441354e-12
   10. C3H8                     1.667363e+03     3.959827e+03     1.000000e+03     1.691139e+02     5.032357e+00     1.024092e-03    -4.008560e-06     1.742824e-09     1.418892e+03     3.561762e+00    -1.184830e-03     1.730765e-07    -9.073769e-12
   11. C4H2                     1.478994e+03     2.224205e+03     1.000000e+03     6.652219e+02     3.290242e+00    -1.638623e-03    -1.102033e-06     1.009397e-09     1.500037e+03     1.004388e+00    -3.236741e-04     4.575550e-08    -2.301355e-12
   12. C4H4                     1.398985e+03     2.708776e+03     1.000000e+03    -3.057886e+02     8.422212e+00    -1.144060e-02     8.792871e-06    -2.759921e-09     1.061868e+03     2.575227e+00    -1.148577e-03     2.391993e-07    -1.894226e-11
   13. C4H6                     1.410069e+03     3.131128e+03     1.000000e+03     1.728370e+01     5.283182e+00    -1.707816e-03    -1.415814e-06     9.542936e-10     1.266252e+03     2.669873e+00    -9.467334e-04     1.506213e-07    -8.885580e-12
   14. IC4H8                    1.601196e+03     3.498346e+03     1.388000e+03     1.390634e+02     5.787393e+00    -3.207312e-03     8.702520e-07    -9.105120e-11     1.663520e+03     2.693973e+00    -9.192744e-04     1.424733e-07    -8.255307e-12
   15. NC4H8                    1.520738e+03     3.493702e+03     1.000000e+03     1.750290e+02     4.572062e+00     7.537556e-04    -3.653528e-06     1.646383e-09     3.043140e+02     5.090290e+00    -2.353679e-03     4.903450e-07    -3.758171e-11
   16. CYC5H6                   1.157959e+03     2.904280e+03     1.000000e+03    -6.461229e+02     7.634285e+00    -5.792852e-03     1.615740e-06     9.323031e-11     2.899710e+01     5.151611e+00    -3.038716e-03     8.550093e-07    -9.262147e-11
   17. C6H6                     1.058638e+03     2.734396e+03     1.000000e+03    -3.340103e+02     5.027276e+00    -3.152976e-04    -3.472948e-06     1.829376e-09     1.374238e+03     1.834278e+00    -5.347775e-04     6.273044e-08    -2.072943e-12
   18. MCPTD                    1.135659e+03     3.008544e+03     1.399000e+03    -6.903505e+02     7.726551e+00    -6.047925e-03     2.403169e-06    -3.829002e-10     1.601599e+03     2.073186e+00    -7.058633e-04     1.093131e-07    -6.332986e-12
   19. C10H8                    1.058008e+03     2.575948e+03     1.401000e+03    -5.732084e+02     7.090170e+00    -6.196250e-03     2.735168e-06    -4.799311e-10     1.518075e+03     1.572637e+00    -5.424841e-04     8.473138e-08    -4.937494e-12
   20. H                        2.062119e+04     2.062119e+04     1.000000e+03     2.062119e+04     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.062119e+04     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   21. C                        1.734961e+03     1.731134e+03     1.000000e+03     1.768140e+03    -2.225804e-01     5.079584e-04    -5.068803e-07     1.844961e-10     1.725518e+03     3.321973e-02    -5.014117e-05     2.590982e-08    -3.373119e-12
   22. CH                       2.234143e+03     2.501557e+03     1.000000e+03     2.043779e+03     1.323822e+00    -3.279056e-03     3.661895e-06    -1.248883e-09     1.402596e+03     1.494662e+00    -4.507654e-04     5.752608e-08    -2.461985e-12
   23. CH2                      2.458406e+03     3.152142e+03     1.000000e+03     2.230055e+03     6.874792e-01     1.475694e-04     5.216669e-07    -4.346279e-10     2.155470e+03     1.145813e+00    -9.999737e-05    -5.986146e-08     1.071838e-11
   24. CH2S                     2.407754e+03     3.164089e+03     1.000000e+03     2.353955e+03    -1.007129e-01     6.077844e-04     1.477451e-06    -1.174390e-09     2.105963e+03     1.225082e+00    -1.134587e-04    -6.547916e-08     1.198149e-11
   25. CH3                      2.563887e+03     3.929492e+03     1.000000e+03     1.344052e+03     6.151707e+00    -9.291736e-03     8.968831e-06    -3.243360e-09     1.572784e+03     3.394343e+00    -1.233397e-03     2.093221e-07    -1.356061e-11
   26. C2H                      1.677794e+03     2.115528e+03     1.000000e+03     9.598860e+02     4.454519e+00    -9.459470e-03     9.792365e-06    -3.631773e-09     1.052281e+03     1.578592e+00    -6.105037e-04     1.010459e-07    -5.887316e-12
   27. C2H3                     1.475312e+03     2.900254e+03     1.000000e+03     7.560289e+02     2.266134e+00     6.486154e-04    -4.062983e-07    -3.642255e-10     1.824062e+03     1.235132e+00    -1.219452e-04    -4.430733e-08     7.312408e-12
   28. C2H5                     1.623652e+03     3.672236e+03     1.000000e+03     7.697933e+02     2.494491e+00     1.264489e-03     2.671746e-07    -1.123712e-09     2.057152e+03     1.855055e+00    -1.839030e-04    -6.717140e-08     1.110295e-11
   29. C3H3                     1.692675e+03     2.678933e+03     1.000000e+03     1.012075e+03     2.358772e+00     5.946432e-05    -1.166416e-06     4.150374e-10     1.879955e+03     9.275604e-01    -8.747388e-05    -5.042542e-08     9.316745e-12
   30. CH2CHCH2                 1.629960e+03     3.350553e+03     1.000000e+03     4.608321e+02     4.019404e+00     2.275008e-04    -2.053820e-06     6.966355e-10     1.714333e+03     2.238410e+00    -6.676537e-04     6.546343e-08     0.000000e+00
   31. CH2CCH3                  1.577144e+03     3.227315e+03     1.000000e+03     6.400602e+02     3.073110e+00     5.511515e-04    -1.048010e-06     1.100272e-11     1.864345e+03     1.593420e+00    -1.563685e-04    -9.104060e-08     1.695822e-11
   32. CHCHCH3                  1.577144e+03     3.227315e+03     1.000000e+03     6.400602e+02     3.073110e+00     5.511515e-04    -1.048010e-06     1.100272e-11     1.864345e+03     1.593420e+00    -1.563685e-04    -9.104060e-08     1.695822e-11
   33. NC3H7                    1.749429e+03     3.718807e+03     1.000000e+03     3.709729e+02     4.783343e+00     3.493060e-04    -3.440992e-06     1.656177e-09     1.394553e+03     3.331433e+00    -1.136305e-03     1.291258e-07     0.000000e+00
   34. IC3H7                    1.740176e+03     3.730908e+03     1.000000e+03     3.305985e+02     4.906237e+00     3.050330e-04    -3.514357e-06     1.703397e-09     1.420845e+03     3.306017e+00    -1.123082e-03     1.271288e-07     0.000000e+00
   35. C4H3                     1.472084e+03     2.496116e+03     1.000000e+03     6.763000e+02     2.810595e+00    -3.890178e-05    -1.658562e-06     7.066844e-10     1.750670e+03     8.761141e-01    -9.035453e-05    -4.969443e-08     9.380780e-12
   36. C4H5                     1.521116e+03     3.065319e+03     1.000000e+03     4.691397e+02     3.584372e+00     3.094149e-04    -1.798478e-06     5.008699e-10     2.015177e+03     1.244157e+00    -1.351150e-04    -7.292047e-08     1.402001e-11
   37. SC4H7                    1.514116e+03     3.361690e+03     1.000000e+03    -6.678704e+01     6.370298e+00    -3.843332e-03     9.015112e-07     0.000000e+00     1.078736e+03     3.314677e+00    -1.168659e-03     1.369362e-07     0.000000e+00
   38. IC4H7                    1.659265e+03     3.577887e+03     1.000000e+03     7.197095e+02     2.530930e+00     3.214287e-03    -4.162881e-06     1.275842e-09     9.303495e+02     3.890787e+00    -1.413189e-03     1.699387e-07     0.000000e+00
   39. CH2C3H5                  1.516628e+03     3.344286e+03     1.000000e+03     4.271132e+01     5.836375e+00    -3.180013e-03     6.452127e-07     0.000000e+00     1.003387e+03     3.413790e+00    -1.216870e-03     1.439789e-07     0.000000e+00
   40. CYC5H5                   1.296871e+03     2.668588e+03     1.000000e+03    -9.424344e+02     1.242018e+01    -2.166003e-02     1.939151e-05    -6.540644e-09     5.383292e+02     3.472094e+00    -1.700996e-03     3.946545e-07    -3.549308e-11
   41. C6H5                     1.133525e+03     2.592250e+03     1.000000e+03     1.233116e+01     3.911401e+00     1.248998e-04    -2.369021e-06     9.126387e-10     1.701139e+03     1.040694e+00    -1.016789e-04    -5.897429e-08     1.106915e-11
   42. C7H7                     1.196486e+03     2.760955e+03     1.000000e+03    -2.702621e+02     6.013906e+00    -3.953500e-03     9.708114e-07     0.000000e+00     1.157677e+03     2.269492e+00    -7.484889e-04     8.227561e-08     0.000000e+00
   43. C7H8                     1.119004e+03     2.831233e+03     1.000000e+03    -4.236758e+02     6.272397e+00    -3.956365e-03     9.388769e-07     0.000000e+00     8.923726e+02     2.818546e+00    -9.968079e-04     1.171223e-07     0.000000e+00
   44. INDENYL                  1.046797e+03     2.564289e+03     1.389000e+03    -4.532927e+02     6.365437e+00    -5.041753e-03     2.021734e-06    -3.278360e-10     1.520725e+03     1.581563e+00    -5.579077e-04     8.843472e-08    -5.205878e-12
   45. INDENE                   1.058797e+03     2.643118e+03     1.000000e+03    -4.048693e+02     5.983689e+00    -3.878449e-03     9.427479e-07     0.000000e+00     9.300713e+02     2.469623e+00    -8.551403e-04     9.856363e-08     0.000000e+00
   46. C6H5C2H                  1.166800e+03     2.512370e+03     1.399000e+03    -3.069061e+02     6.450432e+00    -5.794732e-03     2.638180e-06    -4.746038e-10     1.553929e+03     1.390566e+00    -4.553785e-04     6.881606e-08    -3.928135e-12
   47. C6H5C2H3                 1.177158e+03     2.715331e+03     1.000000e+03    -2.513386e+02     5.855939e+00    -3.851631e-03     9.623615e-07     0.000000e+00     1.054700e+03     2.371733e+00    -8.013342e-04     9.023229e-08     0.000000e+00
   48. N2                       1.037719e+03     1.169485e+03     1.000000e+03     9.790364e+02     4.179609e-01    -1.176271e-03     1.674383e-06    -7.256245e-10     8.686164e+02     4.416266e-01    -1.687218e-04     2.996768e-08    -2.004372e-12

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                           ENTHALPY COEFFICIENTS                                                                     

             H/(RT) = A + B*T + C*T^2 + D*T^3 + E*T^4 + F/T  [-]                                                         

    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                      -1.882892e+03     2.066684e+07     1.000000e+03     3.298124e+00     4.124721e-04    -2.714338e-07    -2.368859e-11     8.269744e-14    -1.012521e+03     2.991422e+00     3.500322e-04    -1.877943e-08    -2.307895e-12     3.165504e-16    -8.350335e+02
    2. CH4                     -7.489933e+07    -3.666485e+07     1.000000e+03     7.787417e-01     8.738340e-03    -9.278030e-06     7.624270e-09    -2.447862e-12    -9.825228e+03     1.683466e+00     5.118620e-03    -1.291709e-06     1.696396e-10    -9.006846e-15    -1.008078e+04
    3. C2H2                     2.267636e+08     2.679975e+08     1.000000e+03     2.013562e+00     7.595225e-03    -5.387730e-06     2.269748e-09    -3.825492e-13     2.612444e+04     4.436773e+00     2.688020e-03    -6.376054e-07     8.215947e-11    -4.313418e-15     2.566766e+04
    4. C2H4                     5.245833e+07     1.031998e+08     1.000000e+03    -8.614879e-01     1.398081e-02    -1.129559e-05     6.962880e-09    -1.947576e-12     5.573047e+03     3.528416e+00     5.742590e-03    -1.472795e-06     1.961150e-10    -1.053370e-14     4.428290e+03
    5. C2H6                    -8.386799e+07    -1.937101e+07     1.000000e+03     1.462539e+00     7.747335e-03     1.926836e-06    -3.144580e-09     9.172534e-13    -1.123918e+04     4.825976e+00     6.920215e-03    -1.519086e-06     1.681242e-10    -7.196322e-15    -1.271783e+04
    6. C3H2                     5.422887e+08     5.943516e+08     1.000000e+03     3.166714e+00     1.241286e-02    -1.530546e-05     1.067005e-08    -2.964304e-12     6.350421e+04     7.670996e+00     1.374374e-03    -1.456981e-07    -1.613900e-11     3.327774e-15     6.259721e+04
    7. PC3H4                    1.853907e+08     2.507714e+08     1.000000e+03     1.461753e+00     1.230133e-02    -6.340646e-06     2.150909e-09    -3.334585e-13     2.092098e+04     2.814605e+00     9.276225e-03    -3.183423e-06     5.998784e-10    -4.749705e-14     2.070108e+04
    8. AC3H4                    1.993031e+08     2.645256e+08     1.400070e+03     2.539831e+00     8.167185e-03    -5.883167e-07    -1.161841e-09     3.458262e-13     2.251243e+04     9.776251e+00     2.651069e-03    -1.233706e-07    -7.565965e-11     1.017916e-14     1.954973e+04
    9. C3H6                     2.044519e+07     9.799147e+07     1.000000e+03     1.493307e+00     1.046258e-02     1.495598e-06    -4.172280e-09     1.431629e-12     1.074826e+03     6.732317e+00     7.454170e-03    -1.649966e-06     1.803006e-10    -7.532408e-15    -9.236231e+02
   10. C3H8                    -1.038660e+08    -1.138190e+07     1.000000e+03     8.969210e-01     1.334493e-02     1.810475e-06    -5.315000e-09     1.848666e-12    -1.395492e+04     7.525306e+00     9.445170e-03    -2.094641e-06     2.294843e-10    -9.624819e-15    -1.646462e+04
   11. C4H2                     4.674103e+08     5.356085e+08     1.000000e+03     4.005191e+00     9.905000e-03    -3.288626e-06    -1.658790e-09     1.215483e-12     5.424064e+04     9.031475e+00     3.023626e-03    -6.495960e-07     6.887158e-11    -2.771216e-15     5.294729e+04
   12. C4H4                     2.845073e+08     3.647075e+08     1.000000e+03    -1.915247e+00     2.637543e-02    -2.388531e-05     1.376810e-08    -3.457244e-12     3.297850e+04     6.650803e+00     8.064715e-03    -2.397962e-06     3.745445e-10    -2.372822e-14     3.119586e+04
   13. C4H6                     1.101555e+08     2.023381e+08     1.000000e+03     1.124438e-01     1.718559e-02    -3.703554e-06    -2.302742e-09     1.241683e-12     1.180226e+04     8.237950e+00     8.684795e-03    -2.053077e-06     2.449770e-10    -1.156151e-14     9.232599e+03
   14. IC4H8                   -1.591431e+07     9.019801e+07     1.388000e+03     9.384332e-01     1.952736e-02    -7.214572e-06     1.468168e-09    -1.228871e-13    -3.748179e+03     1.122583e+01     9.089790e-03    -2.067829e-06     2.403611e-10    -1.114176e-14    -7.699838e+03
   15. NC4H8                   -5.569554e+05     1.045232e+08     1.000000e+03     1.181138e+00     1.542669e-02     1.695508e-06    -6.163722e-09     2.222039e-12    -1.790400e+03     2.053584e+00     1.717525e-02    -5.294399e-06     8.272416e-10    -5.072209e-14    -2.139723e+03
   16. CYC5H6                   1.342884e+08     2.376792e+08     1.000000e+03    -5.136912e+00     3.034767e-02    -1.535176e-05     3.211430e-09     1.482430e-13     1.536757e+04     2.305375e-01     2.047859e-02    -8.052965e-06     1.699409e-09    -1.472749e-13     1.437795e+04
   17. C6H6                     8.289248e+07     1.967240e+08     1.000000e+03    -3.138012e+00     2.361552e-02    -9.874023e-07    -8.157048e-09     3.437382e-12     8.890030e+03     1.291091e+01     8.616480e-03    -1.674737e-06     1.473374e-10    -3.895042e-15     3.664373e+03
   18. MCPTD                    1.049318e+08     2.325472e+08     1.399000e+03    -6.653200e+00     3.723202e-02    -1.942881e-05     5.790089e-09    -7.380343e-13     1.176693e+04     1.543528e+01     9.990085e-03    -2.267568e-06     2.633741e-10    -1.220673e-14     4.474566e+03
   19. C10H8                    1.505773e+08     3.299895e+08     1.401000e+03    -8.836460e+00     5.465028e-02    -3.184003e-05     1.054119e-08    -1.479703e-12     1.665334e+04     2.340232e+01     1.212172e-02    -2.787607e-06     3.265503e-10    -1.522307e-14     6.519413e+03
   20. H                        2.179771e+08     2.325690e+08     1.000000e+03     2.500000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.547162e+04     2.500000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     2.547162e+04
   21. C                        7.166727e+08     7.312752e+08     1.000000e+03     2.554240e+00    -1.607689e-04     2.445974e-07    -1.830587e-10     5.330429e-14     8.544388e+04     2.492669e+00     2.399446e-05    -2.414450e-08     9.357276e-12    -9.745558e-16     8.545130e+04
   22. CH                       5.941794e+08     6.154373e+08     1.000000e+03     3.200202e+00     1.036437e-03    -1.711477e-06     1.433472e-09    -3.911066e-13     7.045257e+04     2.196221e+00     1.170190e-03    -2.352734e-07     2.251896e-11    -7.710080e-16     7.086721e+04
   23. CH2                      3.869894e+08     4.146123e+08     1.000000e+03     3.762237e+00     5.799095e-04     8.298616e-08     2.200209e-10    -1.466487e-13     4.536790e+04     3.636408e+00     9.665280e-04    -5.623387e-08    -2.524747e-11     3.616510e-15     4.534133e+04
   24. CH2S                     4.247243e+08     4.518798e+08     1.000000e+03     3.971265e+00    -8.495440e-05     3.417897e-07     6.231375e-10    -3.962532e-13     4.989367e+04     3.552886e+00     1.033394e-03    -6.380387e-08    -2.761682e-11     4.042698e-15     4.984975e+04
   25. CH3                      1.456942e+08     1.803999e+08     1.000000e+03     2.430442e+00     5.562050e-03    -5.600733e-06     4.054573e-09    -1.172990e-12     1.642378e+04     2.844057e+00     3.068987e-03    -7.434483e-07     9.462903e-11    -4.904318e-15     1.643780e+04
   26. C2H                      5.661959e+08     5.996794e+08     1.000000e+03     2.889657e+00     6.704980e-03    -9.492317e-06     7.369776e-09    -2.186630e-12     6.683939e+04     3.167806e+00     2.376110e-03    -6.126236e-07     7.604756e-11    -3.544655e-15     6.712107e+04
   27. C2H3                     2.862492e+08     3.295286e+08     1.000000e+03     2.459276e+00     3.685738e-03     7.032907e-07    -3.304105e-10    -2.369568e-13     3.335225e+04     5.933467e+00     2.008873e-03    -1.322246e-07    -3.603168e-11     4.757286e-15     3.185435e+04
   28. C2H5                     1.172203e+08     1.732889e+08     1.000000e+03     2.690701e+00     4.359567e-03     1.473279e-06     2.334676e-10    -7.855546e-13     1.287040e+04     7.190478e+00     3.242038e-03    -2.142688e-07    -5.869698e-11     7.761754e-15     1.067455e+04
   29. C3H3                     3.474626e+08     4.098731e+08     1.000000e+03     4.754199e+00     5.540140e-03     9.311077e-08    -1.369803e-09     3.899258e-13     3.988883e+04     8.831048e+00     2.178597e-03    -1.369689e-07    -5.921807e-11     8.753040e-15     3.847419e+04
   30. CH2CHCH2                 1.650131e+08     2.413332e+08     1.000000e+03     2.276486e+00     9.927821e-03     3.746140e-07    -2.536440e-09     6.882684e-13     1.829496e+04     8.468715e+00     5.528812e-03    -1.099391e-06     8.084647e-11     0.000000e+00     1.604673e+04
   31. CH2CCH3                  2.709318e+08     3.436532e+08     1.000000e+03     3.161863e+00     7.590500e-03     9.075530e-07    -1.294278e-09     1.087057e-14     3.095547e+04     9.209766e+00     3.935706e-03    -2.574841e-07    -1.124339e-10     1.675454e-14     2.853967e+04
   32. CHCHCH3                  2.709318e+08     3.436532e+08     1.000000e+03     3.161863e+00     7.590500e-03     9.075530e-07    -1.294278e-09     1.087057e-14     3.095547e+04     9.209766e+00     3.935706e-03    -2.574841e-07    -1.124339e-10     1.675454e-14     2.853967e+04
   33. NC3H7                    9.454988e+07     1.820228e+08     1.000000e+03     1.922536e+00     1.239463e-02     6.034163e-07    -4.458162e-09     1.716599e-12     9.713283e+03     7.227153e+00     8.632436e-03    -1.962935e-06     1.672959e-10     0.000000e+00     7.828358e+03
   34. IC3H7                    8.029715e+07     1.679642e+08     1.000000e+03     1.713299e+00     1.271308e-02     5.269360e-07    -4.553215e-09     1.765542e-12     8.035806e+03     7.363411e+00     8.566576e-03    -1.940093e-06     1.647086e-10     0.000000e+00     6.046846e+03
   35. C4H3                     5.434742e+08     6.186603e+08     1.000000e+03     4.153881e+00     8.631435e-03    -7.964580e-08    -2.546750e-09     8.681008e-13     6.338072e+04     1.075274e+01     2.690576e-03    -1.849879e-07    -7.630665e-11     1.152348e-14     6.121420e+04
   36. C4H5                     3.602421e+08     4.513684e+08     1.000000e+03     2.995240e+00     1.144228e-02     6.584903e-07    -2.870612e-09     6.395646e-13     4.142218e+04     1.286597e+01     3.971685e-03    -2.875489e-07    -1.163909e-10     1.790226e-14     3.783552e+04
   37. SC4H7                    1.338370e+08     2.347694e+08     1.000000e+03    -4.425982e-01     2.110800e-02    -8.489930e-06     1.493580e-09     0.000000e+00     1.456721e+04     7.148790e+00     1.098319e-02    -2.581571e-06     2.268693e-10     0.000000e+00     1.245898e+04
   38. IC4H7                    1.242347e+08     2.302170e+08     1.000000e+03     4.769520e+00     8.386246e-03     7.100367e-06    -6.896861e-09     1.691002e-12     1.263847e+04     6.165433e+00     1.289214e-02    -3.121738e-06     2.815463e-10     0.000000e+00     1.147137e+04
   39. CH2C3H5                  2.007862e+08     3.009085e+08     1.000000e+03     2.830482e-01     1.933885e-02    -7.024657e-06     1.068957e-09     0.000000e+00     2.252478e+04     6.649453e+00     1.131161e-02    -2.688069e-06     2.385373e-10     0.000000e+00     2.067945e+04
   40. CYC5H5                   2.614870e+08     3.573505e+08     1.000000e+03    -7.378440e+00     4.861959e-02    -5.652638e-05     3.795467e-08    -1.024151e-11     3.055147e+04     4.214649e+00     1.359174e-02    -4.439107e-06     7.724503e-10    -5.557597e-14     2.889524e+04
   41. C6H5                     3.323798e+08     4.423120e+08     1.000000e+03     1.143557e-01     1.813662e-02     3.860953e-07    -5.492410e-09     1.692711e-12     3.836054e+04     1.577589e+01     4.825554e-03    -3.143139e-07    -1.367278e-10     2.053044e-14     3.302698e+04
   42. C7H7                     1.997970e+08     3.372283e+08     1.000000e+03    -2.962284e+00     3.295855e-02    -1.444448e-05     2.660213e-09     0.000000e+00     2.234724e+04     1.268904e+01     1.243770e-02    -2.734674e-06     2.254512e-10     0.000000e+00     1.794172e+04
   43. C7H8                     5.000618e+07     1.890701e+08     1.000000e+03    -4.695182e+00     3.475540e-02    -1.461483e-05     2.601162e-09     0.000000e+00     4.693355e+03     9.889287e+00     1.561758e-02    -3.682214e-06     3.244877e-10     0.000000e+00     5.907564e+02
   44. INDENYL                  3.136886e+08     4.728090e+08     1.389000e+03    -6.278088e+00     4.408054e-02    -2.327603e-05     7.000236e-09    -9.081033e-13     3.624731e+04     2.106199e+01     1.095230e-02    -2.575667e-06     3.062044e-10    -1.442024e-14     2.701005e+04
   45. INDENE                   1.633643e+08     3.279862e+08     1.000000e+03    -5.656509e+00     4.179965e-02    -1.806219e-05     3.292829e-09     0.000000e+00     1.807390e+04     1.299421e+01     1.725180e-02    -3.982445e-06     3.442630e-10     0.000000e+00     1.283985e+04
