dummy(1)            x[cm](2)            T[K](3)             v[cm/s](4)          m[kg/m2/s](5)       rho[kg/m3](6)       fv(L)[-](7)         x(L)[-](8)          w(L)[-](9)          rho(L)[kg/m3](10)   N(L)[#/cm3](11)     H/C(L)[-](12)       O/C(L)[-](13)       O/H(L)[-](14)       fv(S)[-](15)        x(S)[-](16)         w(S)[-](17)         rho(S)[kg/m3](18)   N(S)[#/cm3](19)     H/C(S)[-](20)       O/C(S)[-](21)       O/H(S)[-](22)       
0                   0.000000000e+00     4.730000000e+02     7.587012866e+00     6.889418623e-02     9.080541636e-01     5.379459317e-15     5.825096478e-14     8.924209351e-12     8.103665458e-12     9.038064021e+05     2.061787684e-01     0.000000000e+00     0.000000000e+00     5.034889894e-12     1.163397384e-09     8.317053259e-09     7.552334841e-09     1.805096290e+10     4.342893426e-01     0.000000000e+00     0.000000000e+00     
0                   3.571428571e-03     5.521731815e+02     8.929662483e+00     6.888454152e-02     7.714125999e-01     7.571869394e-15     9.569728583e-14     1.478633999e-11     1.140636897e-11     1.271913984e+06     2.061732442e-01     0.000000000e+00     0.000000000e+00     5.340907229e-12     1.439270250e-09     1.038531241e-08     8.011360843e-09     1.912936132e+10     4.341054207e-01     0.000000000e+00     0.000000000e+00     
0                   7.142857143e-03     6.287149876e+02     1.024623674e+01     6.885845735e-02     6.720365641e-01     1.090182631e-14     1.564374126e-13     2.443801956e-11     1.642324270e-11     1.826081860e+06     2.061299373e-01     0.000000000e+00     0.000000000e+00     5.780849902e-12     1.771888906e-09     1.290298076e-08     8.671274853e-09     2.068312263e+10     4.339048930e-01     0.000000000e+00     0.000000000e+00     
0                   1.071428571e-02     7.035204793e+02     1.155079704e+01     6.882057361e-02     5.958080066e-01     1.583416840e-14     2.530395969e-13     4.003814630e-11     2.385504814e-11     2.639642877e+06     2.060602328e-01     0.000000000e+00     0.000000000e+00     6.326143833e-12     2.167282155e-09     1.592663349e-08     9.489215750e-09     2.260852046e+10     4.336902865e-01     0.000000000e+00     0.000000000e+00     
0                   1.428571429e-02     7.771371067e+02     1.285218244e+01     6.877389136e-02     5.351144967e-01     2.302904128e-14     4.039894396e-13     6.484064694e-11     3.469717015e-11     3.815098874e+06     2.059586594e-01     0.000000000e+00     0.000000000e+00     6.965403072e-12     2.632843595e-09     1.952498890e-08     1.044810461e-08     2.486341882e+10     4.334630714e-01     0.000000000e+00     0.000000000e+00     
0                   1.607142857e-02     8.136169984e+02     1.350363528e+01     6.874787570e-02     5.091064315e-01     2.818248354e-14     5.153956594e-13     8.340873402e-11     4.246392293e-11     4.648942498e+06     2.058737771e-01     0.000000000e+00     0.000000000e+00     7.325335442e-12     2.896995741e-09     2.158291957e-08     1.098800316e-08     2.613131556e+10     4.333395722e-01     0.000000000e+00     0.000000000e+00     
0                   1.785714286e-02     8.499166970e+02     1.415627941e+01     6.872039690e-02     4.854410888e-01     3.481254635e-14     6.618950200e-13     1.080600977e-10     5.245681147e-11     5.715394119e+06     2.057670228e-01     0.000000000e+00     0.000000000e+00     7.713727611e-12     3.184524899e-09     2.383521231e-08     1.157059142e-08     2.749803871e+10     4.332088982e-01     0.000000000e+00     0.000000000e+00     
0                   1.964285714e-02     8.860624441e+02     1.481058642e+01     6.869162698e-02     4.638008587e-01     4.327706101e-14     8.535046372e-13     1.406109710e-10     6.521548911e-11     7.069276801e+06     2.056362218e-01     0.000000000e+00     0.000000000e+00     8.130709607e-12     3.496922849e-09     2.629590736e-08     1.219606441e-08     2.896377417e+10     4.330714708e-01     0.000000000e+00     0.000000000e+00     
0                   2.142857143e-02     9.220753577e+02     1.546694956e+01     6.866171520e-02     4.439253838e-01     5.401833256e-14     1.102896356e-12     1.833800151e-10     8.140704359e-11     8.778124123e+06     2.054784362e-01     0.000000000e+00     0.000000000e+00     8.576656864e-12     3.835778913e-09     2.898006234e-08     1.286498530e-08     3.052956265e+10     4.329275855e-01     0.000000000e+00     0.000000000e+00     
0                   2.321428571e-02     9.579721963e+02     1.612569492e+01     6.863079195e-02     4.255989728e-01     6.758069682e-14     1.426041963e-12     2.393156455e-10     1.018524929e-10     1.092478333e+07     2.052901248e-01     0.000000000e+00     0.000000000e+00     9.052153314e-12     4.202784503e-09     3.190381283e-08     1.357822997e-08     3.219716617e+10     4.327774121e-01     0.000000000e+00     0.000000000e+00     
