temperature;353.15 K
pressure;1.031334814 atm
time;s
volume;cm3
filter;0.1 ms
profile;
0;1
5.82E-03;1.0065302
6.68E-03;0.98447523
6.95E-03;1.0075479
1.99E-02;1.00572
2.05E-02;0.9868584
2.09E-02;1.0061926
2.11E-02;0.98114334
2.13E-02;1.0336681
2.20E-02;1.0310364
2.31E-02;0.99513358
2.51E-02;1.0368203
2.53E-02;1.0514699
2.54E-02;1.0250624
2.59E-02;0.99693524
3.02E-02;1.0004335
3.03E-02;0.99531522
3.04E-02;1.0400637
3.10E-02;1.0251438
3.38E-02;1.0183108
3.39E-02;1.0017276
3.60E-02;0.99524659
3.69E-02;1.0516416
3.71E-02;1.0265762
3.72E-02;1.024407
3.73E-02;0.99460051
3.91E-02;0.98934844
3.96E-02;1.0399288
4.12E-02;0.98762818
4.21E-02;1.00355
4.28E-02;0.98470388
4.30E-02;1.0020233
4.31E-02;1.0378652
4.36E-02;1.0340203
4.37E-02;1.0046445
5.03E-02;1.0204815
5.04E-02;0.9910619
5.16E-02;1.0209526
5.18E-02;0.99310195
5.19E-02;1.0173053
5.21E-02;0.9850201
5.23E-02;1.0409359
5.25E-02;1.0331178
5.30E-02;0.97600608
5.55E-02;0.99435037
5.57E-02;1.0200514
5.90E-02;0.99211067
6.00E-02;0.99987908
6.01E-02;1.0326491
6.02E-02;1.0362355
6.11E-02;0.99307708
6.16E-02;0.99048985
6.17E-02;0.9585866
6.22E-02;1.0094534
6.39E-02;0.99667227
6.40E-02;1.0290252
6.77E-02;0.90023221
6.82E-02;0.87151161
6.83E-02;0.90156824
6.90E-02;0.86652497
6.91E-02;0.86919148
6.95E-02;0.81722073
6.98E-02;0.80503328
7.01E-02;0.80639049
7.17E-02;0.69026193
7.21E-02;0.65576081
7.31E-02;0.58225804
7.33E-02;0.58055171
7.43E-02;0.50356144
7.49E-02;0.45609116
7.60E-02;0.3793657
7.65E-02;0.34224484
7.70E-02;0.30487688
7.77E-02;0.25823233
7.81E-02;0.23133533
7.84E-02;0.20961522
7.88E-02;0.18233239
7.91E-02;0.16002586
7.93E-02;0.14574096
7.95E-02;0.13198615
7.97E-02;0.11795431
8.01E-02;9.22E-02
8.04E-02;8.47E-02
8.08E-02;7.65E-02
8.13E-02;6.98E-02
8.22E-02;7.42E-02
8.27E-02;7.50E-02
8.69E-02;7.70E-02
8.84E-02;7.69E-02
9.17E-02;7.89E-02
1.06E-01;8.18E-02
1.25E-01;8.38E-02
0.14475656;8.54E-02
0.16661608;8.66E-02
0.20860248;8.86E-02
0.28564783;9.17E-02
0.3984008;9.58E-02
0.50002456;9.91E-02
0.5001;9.92E-02
