temperature;333.15 K
pressure;1.014557118 atm
time;s
volume;cm3
profile;
0;1
4.26E-03;0.99997853
8.84E-03;0.98609
9.25E-03;1.0540121
9.36E-03;1.0049826
9.66E-03;0.9652844
9.75E-03;0.98543358
9.94E-03;0.98465218
1.01E-02;1.0489259
1.02E-02;1.0360218
1.04E-02;0.97528879
1.08E-02;1.001911
1.10E-02;0.98460894
1.32E-02;0.99366483
1.33E-02;1.0142477
1.53E-02;1.023525
1.55E-02;0.99512162
1.59E-02;1.0360075
1.61E-02;1.0131918
1.67E-02;0.99469577
1.68E-02;0.98576673
1.71E-02;0.99559621
1.72E-02;1.0312212
1.73E-02;1.0155106
1.74E-02;1.0320616
1.76E-02;0.98686031
2.13E-02;0.99118492
2.14E-02;0.99551612
2.46E-02;0.98701686
2.47E-02;1.013978
2.48E-02;0.98378136
2.51E-02;1.0277704
2.52E-02;1.0280706
2.58E-02;0.97960308
2.61E-02;1.0309889
2.62E-02;1.0362359
2.64E-02;0.99072632
2.67E-02;0.98686865
2.68E-02;0.96954369
2.69E-02;0.98795888
2.72E-02;0.98210335
2.74E-02;1.0151994
2.75E-02;0.993292
2.80E-02;0.98913474
2.89E-02;0.99789538
4.60E-02;0.99041167
4.61E-02;1.0114331
4.62E-02;1.0163414
4.63E-02;0.98835434
4.65E-02;1.0004152
5.81E-02;0.99318871
5.82E-02;0.97799909
5.83E-02;1.0242887
5.99E-02;1.0230276
6.04E-02;0.98046607
6.31E-02;1.0153148
6.32E-02;0.99457923
6.39E-02;0.98714174
6.61E-02;0.95864445
6.63E-02;0.99517963
6.68E-02;0.93801353
6.84E-02;0.87687737
6.85E-02;0.90708448
6.90E-02;0.88175935
6.91E-02;0.84918402
7.09E-02;0.77269183
7.16E-02;0.71286435
7.22E-02;0.68809921
7.26E-02;0.64268149
7.37E-02;0.5721311
7.42E-02;0.53288012
7.44E-02;0.52063966
7.58E-02;0.42122068
7.65E-02;0.36938262
7.73E-02;0.31572108
7.80E-02;0.26726543
7.84E-02;0.23622208
7.86E-02;0.21894558
7.89E-02;0.20139663
7.92E-02;0.17910991
7.94E-02;0.16091166
7.97E-02;0.13995254
8.02E-02;0.11035831
8.09E-02;8.25E-02
8.12E-02;7.72E-02
8.15E-02;7.49E-02
8.22E-02;7.25E-02
8.30E-02;7.51E-02
8.65E-02;7.74E-02
8.91E-02;7.79E-02
9.17E-02;7.95E-02
1.01E-01;8.14E-02
1.14E-01;8.34E-02
1.46E-01;8.61E-02
1.96E-01;8.88E-02
0.28053414;9.23E-02
0.38682762;9.63E-02
0.48783881;9.97E-02
0.5001;1.00E-01
