temperature;343.15 K
pressure;1.031334814 atm
time;s
volume;cm3
profile;
0;1
4.94E-03;1.0000594
5.38E-03;0.98366637
5.55E-03;1.0049178
5.63E-03;1.0332254
6.01E-03;0.97951993
6.26E-03;1.0385991
6.57E-03;0.99267358
6.82E-03;0.98696879
7.39E-03;1.000105
9.24E-03;0.98534253
9.78E-03;0.99674193
9.87E-03;1.0370557
1.05E-02;1.0268646
1.06E-02;1.0150127
1.27E-02;0.99337272
1.30E-02;1.038351
1.38E-02;0.99064548
1.41E-02;0.9977203
1.55E-02;0.98576743
1.85E-02;1.0140633
1.86E-02;0.98990852
1.92E-02;0.99512976
1.93E-02;1.0082203
2.04E-02;0.98362316
2.06E-02;1.0355686
2.10E-02;0.99431991
2.15E-02;1.0175579
2.66E-02;0.99967254
2.67E-02;1.0339176
2.75E-02;1.0148865
2.77E-02;0.99292477
2.90E-02;0.9832166
2.92E-02;1.030305
2.96E-02;0.98516652
2.97E-02;1.0395263
2.99E-02;1.0034922
3.07E-02;0.9879006
3.17E-02;0.99552702
3.18E-02;1.0167525
3.35E-02;1.0146131
3.44E-02;1.0252475
3.47E-02;0.98460968
3.54E-02;1.0002238
3.55E-02;1.0307477
3.56E-02;0.99570715
3.64E-02;0.99587153
3.71E-02;1.0312002
3.75E-02;1.0307139
3.76E-02;1.0040194
3.94E-02;0.99868356
3.95E-02;1.0374086
4.07E-02;0.97258518
4.09E-02;0.98741403
4.25E-02;0.98452677
4.33E-02;1.0309899
4.36E-02;1.0332828
4.37E-02;0.98846842
4.48E-02;0.98708326
4.49E-02;1.0007573
6.27E-02;0.9944711
6.29E-02;1.0327066
6.33E-02;0.97255495
6.47E-02;0.9882218
6.58E-02;0.95919129
6.60E-02;1.0021196
6.63E-02;0.96364212
6.64E-02;0.93066768
6.74E-02;0.93533887
7.07E-02;0.77004812
7.09E-02;0.7419683
7.29E-02;0.62259642
7.47E-02;0.47937857
7.57E-02;0.40842423
7.67E-02;0.33887924
7.72E-02;0.30411771
7.76E-02;0.27474982
7.81E-02;0.24094592
7.85E-02;0.21195244
7.88E-02;0.18892726
7.91E-02;0.16796544
7.93E-02;0.14988804
7.96E-02;0.13251936
7.97E-02;0.12167713
8.03E-02;8.93E-02
8.07E-02;7.92E-02
8.12E-02;7.21E-02
8.16E-02;7.10E-02
8.25E-02;7.46E-02
8.64E-02;7.67E-02
8.86E-02;7.70E-02
9.16E-02;7.88E-02
1.06E-01;8.17E-02
0.13069982;8.44E-02
0.15897911;8.63E-02
0.21441409;8.91E-02
0.28357499;9.19E-02
0.37872886;9.55E-02
0.50004927;9.96E-02
0.5001;9.96E-02
