temperature;313.15 K
pressure;0.309893906 atm
time;s
volume;cm3
profile;
0.0000000;1.0000000
0.37819093E-02;0.99939093
0.65803731E-02;1.0413282
0.67037022E-02;0.90647018
0.68559978E-02;0.96128009
0.69247260E-02;1.0440338
0.85156470E-02;0.94108449
0.93127982E-02;1.0936945
0.94069359E-02;1.0694260
0.96409177E-02;0.92286181
0.98979281E-02;0.94771816
0.10071619E-01;0.99934851
0.10308230E-01;0.91593860
0.10477474E-01;1.0123965
0.12619512E-01;0.91591628
0.12703339E-01;0.96113059
0.14247710E-01;0.96430150
0.14355015E-01;1.1036933
0.14783486E-01;1.0601665
0.15027164E-01;1.1045966
0.15698016E-01;1.0133336
0.15819456E-01;0.93455898
0.17584356E-01;0.94896343
0.17753359E-01;1.1039258
0.17949833E-01;0.99861782
0.22464880E-01;0.95132943
0.22525932E-01;0.93214738
0.22839167E-01;1.1306273
0.23370290E-01;0.94215141
0.24673842E-01;0.95931928
0.24986549E-01;0.90779460
0.25126109E-01;1.0650457
0.25397286E-01;0.97023961
0.30218736E-01;0.95221946
0.30806334E-01;1.1065106
0.31048196E-01;0.99819115
0.43292290E-01;0.98482560
0.43382381E-01;1.0746095
0.43694189E-01;1.0917723
0.43810317E-01;0.94101166
0.47578102E-01;0.98894666
0.47660606E-01;0.95285146
0.49958063E-01;0.95600500
0.50098632E-01;1.1315725
0.50154355E-01;1.1428565
0.50602330E-01;1.0616574
0.50694961E-01;0.95317413
0.51758400E-01;0.96717411
0.53404027E-01;0.94269317
0.53763817E-01;1.1499070
0.53802922E-01;1.1462447
0.53952591E-01;0.94689378
0.54032724E-01;0.96651972
0.58157991E-01;0.94469658
0.58289898E-01;1.0935132
0.58360072E-01;1.0720650
0.60482539E-01;0.95460580
0.61634446E-01;1.0078978
0.61896103E-01;0.92324415
0.62055748E-01;0.95210657
0.62194981E-01;0.91141160
0.62285898E-01;1.0153559
0.62560634E-01;1.1005718
0.62699300E-01;1.0420032
0.62798913E-01;0.94788857
0.63094884E-01;0.92116355
0.63405032E-01;0.95600733
0.63503991E-01;1.0861697
0.63581417E-01;1.1137021
0.63660853E-01;1.0899435
0.63905855E-01;0.94695694
0.64012331E-01;1.1057752
0.64664304E-01;1.0705109
0.66052716E-01;0.91961899
0.67581191E-01;0.87090561
0.67657535E-01;0.85293613
0.67755465E-01;0.94495185
0.68327332E-01;0.91319401
0.68454730E-01;0.80431060
0.68819910E-01;0.81117003
0.71554493E-01;0.68088983
0.74351441E-01;0.49924867
0.74501639E-01;0.47558215
0.75735787E-01;0.38701825
0.76613214E-01;0.33227597
0.77052388E-01;0.29820752
0.77955087E-01;0.22933807
0.78413860E-01;0.19430271
0.78862849E-01;0.16210625
0.79263766E-01;0.13292535
0.80150212E-01;0.84215624E-01
0.80819380E-01;0.72139101E-01
0.84346489E-01;0.80166133E-01
0.92330933E-01;0.85633728E-01
0.10564238;0.89809616E-01
0.13102495;0.94285618E-01
0.16287543;0.97266178E-01
0.24977367;0.10250487
0.35443648;0.10737695
0.45748536;0.11164163
0.50010000;0.11301242
